"names","filter"
"rna.17",1
"rna.140",0.991946180321367
"rna.254",0.978624093169916
"rna.411",0.816884304614251
"rna.643",0.795028783960023
"rna.8",0.769798388887817
"rna.224",0.749033786542495
"rna.16",0.738128643943439
"rna.533",0.734772334056569
"rna.778",0.72718510779539
"rna.257",0.726659520266254
"rna.263",0.723018063114177
"rna.210",0.719316385795687
"rna.526",0.715788677243351
"rna.214",0.710697531809352
"rna.6",0.710103986791623
"rna.311",0.707737513003401
"rna.25",0.692341473933119
"rna.796",0.691075202328916
"rna.179",0.679644151314664
"rna.203",0.678034181581805
"rna.283",0.673795572525173
"rna.642",0.672478666412567
"rna.798",0.663483641444512
"rna.477",0.661945037674276
"rna.831",0.658912267787517
"rna.847",0.658124711803944
"rna.833",0.652753423725888
"rna.577",0.651454466101649
"rna.137",0.649858837969304
"rna.596",0.645761296585973
"rna.472",0.644385997969396
"rna.10",0.643700628362931
"rna.89",0.643020113735797
"rna.753",0.637893669135419
"rna.222",0.637665113104975
"rna.830",0.63676681295668
"rna.561",0.631450186822029
"rna.149",0.629666317942993
"rna.69",0.624134989868571
"rna.198",0.622732022929436
"rna.165",0.622450419611167
"rna.197",0.621156334115766
"rna.54",0.62086148428808
"rna.743",0.619812863460183
"rna.353",0.614749950307782
"rna.138",0.613088977280287
"rna.75",0.612323624574983
"rna.177",0.612300730344052
"rna.243",0.611086842167663
"rna.289",0.610015376502848
"rna.178",0.609559566703066
"rna.535",0.609149766101532
"rna.401",0.605967639334635
"rna.176",0.605327936787005
"rna.199",0.599502076170411
"rna.476",0.599075671763116
"rna.388",0.595715941743409
"rna.619",0.59464493490553
"rna.244",0.594589852891386
"rna.355",0.593735896976263
"rna.24",0.591150710376232
"rna.367",0.588175733653319
"rna.467",0.58646316390641
"rna.462",0.585333497027084
"rna.286",0.583407483388677
"rna.22",0.582079199382733
"rna.146",0.581965790069879
"rna.400",0.57821649184344
"rna.242",0.577909146295381
"rna.728",0.577861597130164
"rna.245",0.575043488290973
"rna.373",0.574233980187399
"rna.260",0.572583345552141
"rna.113",0.570168204506275
"rna.636",0.567641991324659
"rna.781",0.565801259208434
"rna.786",0.565123582608905
"rna.259",0.564660927059131
"rna.195",0.563704134689014
"rna.170",0.562222520474542
"rna.110",0.560403168982731
"rna.571",0.560332005051034
"rna.392",0.560205628811366
"rna.90",0.559439719766607
"rna.688",0.559149231477035
"rna.539",0.558008747030089
"rna.269",0.556081070921148
"rna.722",0.554138984558693
"rna.65",0.551426077316888
"rna.168",0.551208937556029
"rna.601",0.550656970958929
"rna.161",0.550196897572472
"rna.37",0.549085602700647
"rna.659",0.548296936244339
"rna.175",0.548116507770024
"rna.31",0.548002941784567
"rna.579",0.546981491049782
"rna.268",0.546717282432541
"rna.56",0.546616915120452
"rna.515",0.546434641614131
"rna.127",0.545932843455663
"rna.99",0.544434197664321
"rna.330",0.541987623000273
"rna.115",0.541680803173407
"rna.809",0.541244058822999
"rna.425",0.540609788158384
"rna.455",0.540204253563272
"rna.773",0.538712909027039
"rna.43",0.537144011970995
"rna.239",0.537137405654266
"rna.294",0.536097014143209
"rna.364",0.535920730258542
"rna.126",0.535900344007341
"rna.573",0.534553680291172
"rna.594",0.534154945398749
"rna.366",0.533994610706906
"rna.148",0.532646103701741
"rna.11",0.532126991251147
"rna.194",0.531874708536514
"rna.775",0.53157854483526
"rna.129",0.531340269900644
"rna.442",0.531233853993952
"rna.585",0.529390168835507
"rna.218",0.529156044669714
"rna.711",0.528894546047025
"rna.288",0.528705234186257
"rna.317",0.527868609016134
"rna.253",0.527856492807841
"rna.172",0.52766460545256
"rna.292",0.526305630828636
"rna.338",0.524926100285064
"rna.420",0.521649287101781
"rna.141",0.521371633042856
"rna.162",0.521038034520029
"rna.271",0.52073170250858
"rna.386",0.519710208724194
"rna.846",0.518310564624503
"rna.200",0.517391905472426
"rna.167",0.517331977045563
"rna.153",0.517086817740619
"rna.71",0.515201706492536
"rna.362",0.515156183431763
"rna.600",0.514082755946114
"rna.590",0.513308575864532
"rna.790",0.512777391936481
"rna.14",0.512646970235422
"rna.612",0.512118516215317
"rna.15",0.512040297527984
"rna.827",0.511981861831082
"rna.2",0.511584676439107
"rna.721",0.511022345161049
"rna.779",0.510320971339873
"rna.215",0.510025296830656
"rna.723",0.50992245841399
"rna.1",0.509894364843707
"rna.811",0.509880106412329
"rna.187",0.509854717244022
"rna.7",0.50982869971494
"rna.3",0.509749320488669
"rna.206",0.509279627925029
