"names","filter"
"rna.154",1
"rna.244",0.992052855934634
"rna.27",0.955631930150539
"rna.232",0.907130334428917
"rna.894",0.903355924989405
"rna.78",0.895481335751164
"rna.79",0.880903126170001
"rna.194",0.879540496150265
"rna.160",0.843183265863851
"rna.641",0.837574374585323
"rna.896",0.836768548912975
"rna.425",0.836259615427381
"rna.65",0.82447507726232
"rna.156",0.824394656510554
"rna.580",0.784443131860589
"rna.191",0.778838380534191
"rna.519",0.740950763166763
"rna.516",0.73652539829779
"rna.642",0.731475253782206
"rna.237",0.730743035100867
"rna.14",0.726772059361822
"rna.5",0.72239080385895
"rna.622",0.705389945597748
"rna.205",0.692103342040501
"rna.761",0.689857234854453
"rna.768",0.684946709418253
"rna.234",0.672868792697936
"rna.400",0.658138708417065
"rna.612",0.655292350567209
"rna.155",0.64757218661389
"rna.298",0.646556346667387
"rna.76",0.630086461345362
"rna.514",0.629181959580868
"rna.158",0.614929671952568
"rna.131",0.613774373632928
"rna.218",0.613377479368124
"rna.25",0.609318721905286
"rna.517",0.606745943750083
"rna.604",0.60040842306377
"rna.84",0.598985423940053
"rna.214",0.597034798906548
"rna.836",0.585967727300233
"rna.260",0.585430947707703
"rna.624",0.581999847413894
"rna.161",0.581953800953011
"rna.868",0.581748130163444
"rna.521",0.578838216121618
"rna.823",0.575094578341708
"rna.222",0.574135204433861
"rna.401",0.5734051089393
"rna.143",0.57197875045568
"rna.236",0.568168407075979
"rna.283",0.567617239581869
"rna.233",0.5665633289471
"rna.219",0.561285032789046
"rna.760",0.560728673267174
"rna.605",0.553120922571208
"rna.170",0.544012934438003
"rna.839",0.541654050843619
"rna.424",0.533362045440957
"rna.849",0.53317371552309
"rna.508",0.529249030085008
"rna.13",0.52863542418085
"rna.780",0.525031537535221
"rna.137",0.524628123760197
"rna.285",0.515484813547955
"rna.419",0.515244284562757
"rna.418",0.514159457454033
"rna.422",0.512204247143393
"rna.119",0.510184963065313
"rna.159",0.509048723360618
"rna.19",0.502483985972774
"rna.16",0.497337587068027
"rna.187",0.495884731307305
"rna.238",0.491136426756231
"rna.293",0.490647000399734
"rna.609",0.485674356450319
"rna.512",0.481426364817868
"rna.538",0.47840546646721
"rna.166",0.477530507276362
"rna.67",0.476638860843204
"rna.104",0.475270571636835
"rna.146",0.473858276255184
"rna.9",0.471689632273352
"rna.618",0.471671916735567
"rna.288",0.468974492871973
"rna.230",0.468786524907797
"rna.501",0.468585821060763
"rna.879",0.468312870676944
"rna.197",0.467874643784079
"rna.299",0.467874643784079
"rna.189",0.467073781455822
"rna.475",0.466392862028217
"rna.402",0.465953375445508
"rna.120",0.463534926708495
"rna.17",0.462329275502167
"rna.180",0.46104486136195
"rna.835",0.459889321947699
"rna.138",0.458705341721195
"rna.245",0.458251767718672
"rna.287",0.456195572353288
"rna.862",0.454052914207299
"rna.169",0.45389370172071
"rna.750",0.453833468027867
"rna.126",0.452169852935605
"rna.255",0.450920497558781
"rna.585",0.450560672552481
"rna.866",0.449784951986513
"rna.513",0.446181243278268
"rna.848",0.446011851019509
"rna.273",0.442503412438819
"rna.510",0.442210500447409
"rna.562",0.441959126626489
"rna.844",0.441828118460433
"rna.878",0.438515750650642
"rna.603",0.437391064278601
"rna.725",0.435473699217221
"rna.615",0.43410511711654
"rna.856",0.432560241354984
"rna.606",0.43211313406261
"rna.99",0.428023565142902
"rna.755",0.427953294925408
"rna.247",0.427944790230608
"rna.66",0.427892301157644
"rna.535",0.427869865288991
"rna.213",0.427742972927049
"rna.321",0.427394055705026
"rna.897",0.426967858197
"rna.614",0.425570269047134
"rna.633",0.424949390992384
"rna.821",0.424484877869215
"rna.304",0.423239620609862
"rna.445",0.422624355075255
"rna.303",0.422261084508957
"rna.263",0.421013053867013
"rna.855",0.420619868905195
"rna.102",0.420468833475139
"rna.442",0.420003806638685
"rna.697",0.419283436801422
"rna.305",0.417336595511725
"rna.461",0.417012189258602
"rna.484",0.41596260691053
"rna.466",0.414435135700107
"rna.426",0.414182094547285
"rna.279",0.413939875285811
"rna.732",0.412477804269879
"rna.145",0.411956135442359
"rna.462",0.410874481522239
"rna.590",0.410283523682058
"rna.766",0.408795117025643
"rna.199",0.408109206594151
"rna.895",0.407408176522504
"rna.266",0.406574385506814
"rna.873",0.405196225849545
"rna.157",0.40503160656669
"rna.11",0.403349739591021
"rna.26",0.397553140924414
"rna.300",0.395350347658916
"rna.301",0.394646238745006
"rna.598",0.394041854421461
"rna.421",0.393236984963679
"rna.840",0.383889875768192
"rna.880",0.381451547202369
"rna.790",0.378692857453682
"rna.80",0.376584445863674
"rna.560",0.376212746605675
"rna.6",0.374729722469359
"rna.22",0.374729722469359
"rna.57",0.374729722469359
"rna.73",0.374729722469359
"rna.105",0.374729722469359
"rna.109",0.374729722469359
"rna.111",0.374729722469359
"rna.123",0.374729722469359
"rna.127",0.374729722469359
"rna.129",0.374729722469359
"rna.139",0.374729722469359
"rna.140",0.374729722469359
"rna.148",0.374729722469359
"rna.153",0.374729722469359
"rna.167",0.374729722469359
"rna.171",0.374729722469359
"rna.181",0.374729722469359
"rna.188",0.374729722469359
"rna.196",0.374729722469359
"rna.206",0.374729722469359
"rna.216",0.374729722469359
"rna.220",0.374729722469359
"rna.227",0.374729722469359
"rna.242",0.374729722469359
"rna.249",0.374729722469359
"rna.253",0.374729722469359
"rna.254",0.374729722469359
"rna.267",0.374729722469359
"rna.276",0.374729722469359
"rna.278",0.374729722469359
"rna.281",0.374729722469359
"rna.292",0.374729722469359
"rna.309",0.374729722469359
"rna.317",0.374729722469359
