"name";"information.gain"
"rna.830";1
"rna.533";0,996837237885359
"rna.477";0,959635651687622
"rna.833";0,959635651687622
"rna.140";0,957349635161493
"rna.222";0,951409073955414
"rna.796";0,920868661543751
"rna.254";0,908309982619841
"rna.172";0,90286669206274
"rna.257";0,891783534214095
"rna.831";0,869408453376889
"rna.175";0,868778061791788
"rna.17";0,852316078974384
"rna.793";0,841373099249284
"rna.535";0,837636279642325
"rna.214";0,802700202442201
"rna.594";0,802700202442201
"rna.187";0,779731859154895
"rna.846";0,777957593187041
"rna.401";0,748423928683864
"rna.155";0,693839467759395
"rna.224";0,690792187191335
"rna.211";0,671524499231588
"rna.165";0,67034040089407
"rna.148";0,652194314603578
"rna.203";0,615312602943789
"rna.22";0,608714840615064
"rna.16";0,606309349227235
"rna.127";0,598392532643252
"rna.278";0,581331224550312
"rna.138";0,573939755686316
"rna.105";0,572593628324909
"rna.8";0,564956451641527
"rna.596";0,559812488735484
"rna.126";0,557459916155267
"rna.161";0,551954807802823
"rna.756";0,525820167219068
"rna.283";0,497167220897774
"rna.253";0,496346672223081
"rna.154";0,492257119841894
"rna.573";0,492242391003141
"rna.69";0,4860148685864
"rna.181";0,479844913135894
"rna.277";0,477494154458549
"rna.1";0,474952352692968
"rna.3";0,474952352692968
"rna.262";0,474952352692968
"rna.411";0,474952352692968
"rna.430";0,474952352692968
"rna.2";0,474787248802775
"rna.146";0,470543109758947
"rna.179";0,470543109758947
"rna.436";0,470543109758947
"rna.149";0,457135746465804
"rna.722";0,452373525081983
"rna.162";0,449394663908548
"rna.434";0,439413199663787
"rna.781";0,433695600800172
"rna.244";0,430557248131205
"rna.210";0,422546296056975
"rna.137";0,413152084622917
"rna.377";0,409125132222831
"rna.25";0,407038326708661
"rna.745";0,407038326708661
"rna.811";0,397104429693985
"rna.6";0,388030468585404
"rna.280";0,376828407669221
"rna.485";0,376316349432975
"rna.252";0,374170021778104
"rna.110";0,36492639506525
"rna.209";0,362797837359547
"rna.21";0,356218585251515
"rna.256";0,356218585251515
"rna.774";0,349558620695625
"rna.121";0,348824252087756
"rna.62";0,343700383321997
"rna.711";0,341087092612858
"rna.230";0,336625295474949
"rna.725";0,336625295474949
"rna.233";0,335739806953656
"rna.282";0,33551946928936
"rna.700";0,33551946928936
"rna.717";0,335457558189294
"rna.178";0,33385079813956
"rna.577";0,33385079813956
"rna.753";0,328673884705063
"rna.116";0,324826481970305
"rna.561";0,319842103375823
"rna.18";0,31531556815935
"rna.113";0,315013908074953
"rna.223";0,315013908074953
"rna.259";0,315013908074953
"rna.260";0,315013908074953
"rna.748";0,315013908074953
"rna.9";0,306096828837961
"rna.153";0,306096828837961
"rna.212";0,306096828837961
"rna.245";0,302063749027529
"rna.416";0,299451125924719
"rna.786";0,299451125924719
"rna.409";0,295765028887843
"rna.164";0,295175265027903
"rna.176";0,287410228618802
"rna.422";0,285265421679627
"rna.84";0,280441054398476
"rna.263";0,280441054398476
"rna.474";0,280215392937681
"rna.213";0,279896765375072
"rna.488";0,275146690923153
"rna.129";0,267943465376327
"rna.182";0,262172929031482
"rna.582";0,259877834127969
"rna.198";0,258343455700327
"rna.339";0,254516985479074
"rna.545";0,253477510589022
"rna.826";0,253477510589022
"rna.132";0,250904704933322
"rna.584";0,250904704933322
"rna.373";0,249204111992948
"rna.795";0,249204111992948
"rna.163";0,248737419904831
"rna.197";0,248737419904831
"rna.388";0,248737419904831
"rna.772";0,244484097252086
"rna.595";0,240432065980897
"rna.659";0,240432065980897
"rna.298";0,239841728100923
"rna.723";0,236850859224362
"rna.819";0,227134406518906
"rna.394";0,226367744137293
"rna.202";0,225035894826988
"rna.427";0,223031104584923
"rna.705";0,221965540960855
"rna.808";0,221965540960855
"rna.11";0,221952360571927
